"tick";"NormativeNetworkCardinality";"NormativeSystemMinimality";"NormativeSystemFitoussiMinimality";"AvgNonRegulatedCollisions"
1;2.0;0;0;0;0.0
1;3.0;0;0;0;0.0
1;4.0;0;0;0;0.0
1;5.0;0;0;0;0.0
1;6.0;0;0;0;0.0
1;7.0;0;0;0;0.0
1;8.0;0;0;0;0.0
1;9.0;0;0;0;0.0
1;10.0;0;0;0;0.0
1;11.0;0;0;0;0.0
1;12.0;1;1;0;0.1
1;13.0;2;2;1;0.4
1;14.0;4;2;2;0.4
1;15.0;4;2;3;0.4
1;16.0;5;3;3;0.5
1;17.0;6;4;4;0.7
1;18.0;8;4;5;0.8
1;19.0;10;4;8;0.8
1;20.0;10;4;9;0.8
1;21.0;10;4;9;0.8
1;22.0;12;4;9;0.7
1;23.0;12;4;9;0.4
1;24.0;12;4;9;0.4
1;25.0;12;4;9;0.4
1;26.0;12;4;9;0.3
1;27.0;12;4;9;0.1
1;28.0;12;4;9;0.0
1;29.0;12;4;9;0.0
1;30.0;12;4;9;0.0
1;31.0;12;4;9;0.0
1;32.0;12;4;9;0.0
1;33.0;12;4;9;0.0
1;34.0;12;4;9;0.0
1;35.0;12;4;9;0.0
1;36.0;12;4;9;0.0
1;37.0;12;4;9;0.0
1;38.0;12;4;9;0.0
1;39.0;12;4;9;0.1
1;40.0;12;4;9;0.1
1;41.0;12;4;9;0.1
1;42.0;12;4;9;0.1
1;43.0;12;4;9;0.1
1;44.0;12;4;9;0.1
1;45.0;12;4;9;0.1
1;46.0;12;4;9;0.1
1;47.0;16;6;9;0.2
1;48.0;16;6;12;0.2
1;49.0;16;6;12;0.1
1;50.0;16;6;12;0.1
1;51.0;17;6;12;0.1
1;52.0;26;3;12;0.1
1;53.0;26;3;16;0.1
1;54.0;26;3;16;0.1
1;55.0;26;3;16;0.1
1;56.0;26;3;16;0.1
1;57.0;26;3;16;0.0
1;58.0;26;3;16;0.0
1;59.0;26;3;16;0.0
1;60.0;28;3;16;0.0
1;61.0;28;3;16;0.0
1;62.0;29;3;16;0.0
1;63.0;29;3;16;0.0
1;64.0;29;3;16;0.1
1;65.0;29;3;16;0.1
1;66.0;29;3;16;0.1
1;67.0;29;3;16;0.1
1;68.0;30;5;16;0.1
1;69.0;30;6;15;0.3
1;70.0;30;6;16;0.3
1;71.0;30;6;16;0.3
1;72.0;30;6;16;0.3
1;73.0;30;6;16;0.3
1;74.0;30;6;16;0.2
1;75.0;30;6;16;0.2
1;76.0;30;6;16;0.2
1;77.0;30;6;16;0.2
1;78.0;30;6;16;0.2
1;79.0;30;6;16;0.0
1;80.0;30;6;16;0.0
1;81.0;30;6;16;0.0
1;82.0;30;6;16;0.0
1;83.0;30;6;16;0.0
1;84.0;30;6;16;0.0
1;85.0;30;6;16;0.0
1;86.0;30;6;16;0.0
1;87.0;30;6;16;0.1
1;88.0;30;6;16;0.1
1;89.0;30;6;16;0.1
1;90.0;30;6;16;0.1
1;91.0;30;6;16;0.1
1;92.0;30;6;16;0.1
1;93.0;30;6;16;0.1
1;94.0;30;6;16;0.1
1;95.0;32;7;16;0.2
1;96.0;32;4;18;0.2
1;97.0;32;4;18;0.1
1;98.0;32;4;18;0.1
1;99.0;32;4;18;0.1
1;100.0;32;4;18;0.1
1;101.0;32;4;18;0.1
1;102.0;32;4;18;0.1
1;103.0;34;5;18;0.1
1;104.0;39;1;22;0.1
1;105.0;40;1;24;0.0
1;106.0;40;1;24;0.0
1;107.0;40;1;24;0.0
1;108.0;40;1;24;0.0
1;109.0;40;1;24;0.0
1;110.0;40;1;24;0.0
1;111.0;40;1;24;0.0
1;112.0;40;1;24;0.0
1;113.0;42;6;24;0.0
1;114.0;43;5;22;0.0
1;115.0;43;5;23;0.0
1;116.0;43;5;23;0.0
1;117.0;44;6;23;0.0
1;118.0;44;6;23;0.0
1;119.0;44;6;23;0.0
1;120.0;44;6;23;0.0
1;121.0;46;7;23;0.0
1;122.0;47;7;23;0.0
1;123.0;54;8;23;0.0
1;124.0;54;8;23;0.0
1;125.0;56;8;23;0.0
1;126.0;57;8;23;0.0
1;127.0;58;8;23;0.0
1;128.0;58;8;23;0.0
1;129.0;58;8;23;0.0
1;130.0;58;8;23;0.0
1;131.0;58;8;23;0.0
1;132.0;58;8;23;0.0
1;133.0;58;8;23;0.0
1;134.0;58;8;23;0.0
1;135.0;58;8;23;0.0
1;136.0;58;8;23;0.0
1;137.0;58;8;23;0.0
1;138.0;58;8;23;0.0
1;139.0;58;8;23;0.0
1;140.0;58;8;23;0.0
1;141.0;58;8;23;0.0
1;142.0;58;8;23;0.0
1;143.0;58;8;23;0.0
1;144.0;58;8;23;0.0
1;145.0;58;8;23;0.0
1;146.0;58;8;23;0.0
1;147.0;58;8;23;0.0
1;148.0;58;8;23;0.0
1;149.0;58;8;23;0.0
1;150.0;58;8;23;0.0
1;151.0;58;8;23;0.0
1;152.0;58;8;23;0.0
1;153.0;58;8;23;0.0
1;154.0;58;8;23;0.0
1;155.0;58;8;23;0.0
1;156.0;58;7;23;0.0
1;157.0;58;7;22;0.0
1;158.0;60;7;22;0.0
1;159.0;60;7;22;0.0
1;160.0;60;7;22;0.0
1;161.0;60;7;22;0.0
1;162.0;60;7;22;0.0
1;163.0;60;7;22;0.0
1;164.0;60;7;22;0.0
1;165.0;60;7;22;0.0
1;166.0;60;7;22;0.0
1;167.0;60;7;22;0.0
1;168.0;60;7;22;0.0
1;169.0;60;7;22;0.0
1;170.0;60;7;22;0.0
1;171.0;60;7;22;0.0
1;172.0;60;7;22;0.0
1;173.0;60;7;22;0.0
1;174.0;60;7;22;0.0
1;175.0;60;7;22;0.0
1;176.0;60;7;22;0.0
1;177.0;60;7;22;0.0
1;178.0;60;7;22;0.0
1;179.0;60;7;22;0.0
1;180.0;60;7;22;0.0
1;181.0;60;7;22;0.0
1;182.0;60;7;22;0.0
1;183.0;60;7;22;0.0
1;184.0;60;7;22;0.0
1;185.0;60;7;22;0.0
1;186.0;60;7;22;0.0
1;187.0;60;7;22;0.0
1;188.0;60;7;22;0.0
1;189.0;60;7;22;0.0
1;190.0;60;7;22;0.0
1;191.0;60;7;22;0.0
1;192.0;60;7;22;0.0
1;193.0;60;7;22;0.0
1;194.0;60;7;22;0.0
1;195.0;60;7;22;0.0
1;196.0;60;7;22;0.0
1;197.0;60;7;22;0.0
1;198.0;60;7;22;0.0
1;199.0;60;7;22;0.0
1;200.0;60;7;22;0.0
1;201.0;60;7;22;0.0
1;202.0;60;7;22;0.0
1;203.0;60;7;22;0.0
1;204.0;60;7;22;0.0
1;205.0;60;7;22;0.0
1;206.0;60;7;22;0.0
1;207.0;60;7;22;0.0
1;208.0;60;7;22;0.0
1;209.0;60;7;22;0.0
1;210.0;60;7;22;0.0
1;211.0;60;7;22;0.0
1;212.0;60;7;22;0.0
1;213.0;60;7;22;0.0
1;214.0;60;7;22;0.0
1;215.0;60;7;22;0.0
1;216.0;60;7;22;0.0
1;217.0;60;7;22;0.0
1;218.0;60;7;22;0.0
1;219.0;60;7;22;0.0
1;220.0;60;7;22;0.0
1;221.0;60;7;22;0.0
1;222.0;60;7;22;0.0
1;223.0;60;7;22;0.0
1;224.0;60;7;22;0.0
1;225.0;60;7;22;0.0
1;226.0;60;7;22;0.0
1;227.0;60;7;22;0.0
1;228.0;60;7;22;0.0
1;229.0;60;7;22;0.0
1;230.0;60;7;22;0.0
1;231.0;60;7;22;0.0
1;232.0;60;7;22;0.0
1;233.0;60;7;22;0.0
1;234.0;60;7;22;0.0
1;235.0;60;7;22;0.0
1;236.0;60;7;22;0.0
1;237.0;60;7;22;0.0
1;238.0;60;7;22;0.0
1;239.0;60;7;22;0.0
1;240.0;60;7;22;0.0
1;241.0;60;7;22;0.0
1;242.0;60;7;22;0.0
1;243.0;60;7;22;0.0
1;244.0;60;7;22;0.0
1;245.0;60;7;22;0.0
1;246.0;60;7;22;0.0
1;247.0;60;7;22;0.0
1;248.0;60;7;22;0.0
1;249.0;60;7;22;0.0
1;250.0;60;7;22;0.0
1;251.0;60;7;22;0.0
1;252.0;60;7;22;0.0
1;253.0;60;7;22;0.0
1;254.0;60;7;22;0.0
1;255.0;60;7;22;0.0
1;256.0;60;7;22;0.0
1;257.0;60;7;22;0.0
1;258.0;60;7;22;0.0
1;259.0;60;7;22;0.0
1;260.0;60;7;22;0.0
1;261.0;60;7;22;0.0
1;262.0;60;7;22;0.0
1;263.0;60;7;22;0.0
1;264.0;60;7;22;0.0
1;265.0;60;7;22;0.0
1;266.0;60;7;22;0.0
1;267.0;60;7;22;0.0
1;268.0;60;7;22;0.0
1;269.0;60;7;22;0.0
1;270.0;60;7;22;0.0
1;271.0;60;7;22;0.0
1;272.0;60;7;22;0.0
1;273.0;60;7;22;0.0
1;274.0;60;7;22;0.0
1;275.0;60;7;22;0.0
1;276.0;60;7;22;0.0
1;277.0;60;7;22;0.0
1;278.0;60;7;22;0.0
1;279.0;60;7;22;0.0
1;280.0;60;7;22;0.0
1;281.0;60;7;22;0.0
1;282.0;60;7;22;0.0
1;283.0;60;7;22;0.0
1;284.0;60;7;22;0.0
1;285.0;60;7;22;0.0
1;286.0;60;7;22;0.0
1;287.0;60;7;22;0.0
1;288.0;60;7;22;0.0
1;289.0;60;7;22;0.0
